Panelist,Genotype,unique_ID,SampleOrder,Rank,CATA_aroma,CATA_all,Desc,NewDesc,DescCoded
23,120.14,23_120.14,2,3,"Cereal,Alcoholic","Cereal, Cereal-Malt, Alcoholic, Irritation-Carbonation-Tingle","Sharp, bitter, strong aftertaste","strong aftertaste, sharp","sharp, bitter"
23,117.17,23_117.17,3,4,"SweetAromatic,Herbacious,Dairy","Dairy, Dairy-Butter, SweetAromatic, SweetAromatic-Caramel, Herbacious, Herbacious-Thyme","Heavy on tongue, bitter, lasting aftertaste-not in a good way.","heavy, bad aftertaste","heavy, bitter"
23,Copeland,23_Copeland,4,2,"Nutty,Metallic,Stale","Nutty, Metallic, Stale, Stale-Cardboard","Acrid (acid?), light",light,"sour, light"
24,117.17,24_117.17,1,2,,"Afterfeel-Astringency-Low, Effervescence-BubbleDensity-Dispersed, Body-Viscosity-Thin","Light flavor profile, almost bland","light, bland",light
24,120.17,24_120.17,2,1,Alcoholic,"Irritation-Alcohol-Warm, Alcoholic, Body-Viscosity-Thin","Little more flavor than 562, finish was just beginning to be sharp",sharp,sharp
24,Copeland,24_Copeland,3,3,,"Body-Viscosity-Thin, Body-Density-Light, Bitter","Not much going on here, very light","bland, light",light
24,120.14,24_120.14,4,4,Cereal,"Cereal, Cereal-GreenMalt, Bitter","Least favorite of the group, not bad but not pleasant",least favorite,0
25,Copeland,25_Copeland,1,1,Fruity,"Fruity, Body-Particulate-Smooth, Afterfeel-Slippery-Low","Great flavor, fruity tones. Smells wonderful, looks light, great aftertaste","good flavor, nice aroma, good aftertaste","fruity, light"
25,117.17,25_117.17,2,4,Grassy,"Sour, Grassy, Afterfeel-Astringency-Drying","Acidic taste. Smells woody, slightly pungent",,"sour, woody"
25,120.14,25_120.14,3,3,Woody,"Woody, Effervescence-BubbleDensity-Compact","Earthy, acidic, pils? Nutty smell",,"earthy, sour, nutty"
25,120.17,25_120.17,4,2,"Earthy,Nutty","Earthy, Nutty, Irritation-Alcohol-Burning",Smell spicy? Weak taste. Coffee too in aftertaste,bland,"spicy, burnt, coffee"
26,120.14,26_120.14,1,1,,"Floral, Fruity, Fruity-Pear, Waxy, Body-Particulate-Smooth, Body-Density-Heavy, Irritation-Alcohol-Warm","Floral aroma, wax pear taste, medium smooth body, warm",smooth,"floral, fruity, pear, heavy, warm"
26,Copeland,26_Copeland,2,3,,"Sour, Fruity, Fruity-Citrus, Body-Density-Light, Body-Particulate-Gritty","Weak scent, sour citrus taste, clear, light and gritty taste","low aroma, light","sour, fruity, citrus, light, gritty"
26,120.17,26_120.17,3,2,,"Fruity, Fruity-Apple, Fruity-Apple-Cider, Irritation-Cooling, Body-Density-Light","Apple taste, warm cider smell, cooling and light",light,"fruity, apple, cider, cooling, light"
26,117.17,26_117.17,4,4,,"Burnt, Cereal, Cereal-Toast, Irritation-Spicy, Spicy","Burnt toast scent, spicy unpleasant taste",bad taste,"burnt, cereal, toast, spicy"
27,120.17,27_120.17,1,1,,Cereal,Cereal effervescence,,"cereal, bubbly"
27,120.14,27_120.14,2,2,,Ripe,Ripe body,,ripe
27,117.17,27_117.17,3,3,,"Woody, Fruity, Fruity-Citrus",Woody citrus with mellow after feel,good aftertaste,"woody, citrus"
27,Copeland,27_Copeland,4,4,,"Irritation-Spicy, Spicy, Fruity, Fruity-Berry, Effervescence-BubbleDensity-Compact",Spicy berry with slight effervescence,,"spicy, fruity, berry, bubbly"
28,117.17,28_117.17,1,4,"Fruity,Spicy","Fruity, Fruity-Apple, Fruity-Apple-GreenApple, Spicy, Bitter","Fruity/green apple, spicy/black pepper, bitter, bland, cooling",bland,"fruity, apple, green apple, spicy, black pepper, bitter, cooling"
28,120.17,28_120.17,2,3,Spicy,"Spicy, Spicy-BlackPepper, Sweet","Spicy/black pepper, sweet, (wind drifting to me from a nearby hamburger stand)",,"spicy, black pepper, sweet"
28,Copeland,28_Copeland,3,1,"Earthy,Nutty","Earthy, Nutty, Sweet, Effervescence-BubbleSize-Small","Earthy/nutty, sweet, effervescent-small bubbles",,"earthy, nutty, sweet, small bubbles"
28,120.14,28_120.14,4,2,"Fruity,Spicy","Fruity, Fruity-Citrus, Spicy, Bitter","Citrus, spicy, bitter",,"fruity, citrus, spicy, bitter"
29,Copeland,29_Copeland,1,3,Fruity,"Fruity, Body-Density-Light","Smells good, fruity, tastes goo a small crisp ""bite""",nice aroma,fruity
29,117.17,29_117.17,2,1,SweetAromatic,"SweetAromatic, Body-Density-Light","Light, smooth, nice aroma","light, smooth, nice aroma","light, smooth"
29,120.14,29_120.14,3,2,,"Sweet, Body-Particulate-Smooth","Darker, good flavor, like a light IPA. Not bitter",good flavor,0
29,120.17,29_120.17,4,4,,Bitter,"Not bad, probably more ""hoppy""",hoppy,0
30,120.14,30_120.14,1,2,,Body-Particulate-Smooth,"Creamy, mild",mild,smooth
30,Copeland,30_Copeland,2,4,,"Body-Viscosity-Thin, Sour","Thin body, tangy, light ale taste",,"thin, sour, light"
30,120.17,30_120.17,3,3,,"Body-Particulate-Smooth, Cereal","Taste like 827, more aromatic, smooth grainy taste",smooth,"smooth, cereal, grain"
30,117.17,30_117.17,4,1,,Nutty,*illegible* Nutty twist,,nutty
31,120.17,31_120.17,1,2,,,Plain,bland,0
31,120.14,31_120.14,2,1,,,Slight hop,hoppy,0
31,117.17,31_117.17,3,3,,Bitter,Bitter but okay,,bitter
31,Copeland,31_Copeland,4,4,,,Strong bite,,0
32,117.17,32_117.17,1,1,Fruity,"Fruity, Fruity-Citrus, Sweet, Afterfeel-Slippery-High, Body-Density-Light","Light, similar to a pale ale, smells like a pale ale, possibly fruity, hard to smell what fruit, light pale yellow, smooth, sweet",,"fruity, smooth, sweet"
32,120.17,32_120.17,2,2,"Floral,Woody","Floral, Woody, Afterfeel-Slippery-High","Darker than 562, darker yellow, smells like an English Ale, ""deeper flavor"", does not have a fruity smell/feel, bitter, smooth, floral",,"bitter, smooth, floral"
32,Copeland,32_Copeland,3,3,Waxy,"Body-Particulate-Smooth, Afterfeel-Slippery-High, Waxy, Body-Density-Light","Almost no smell, darker/bright brown in color, smooth, bitter, coats the mouth like mucus-sticky",low aroma,"smooth, bitter, thick"
32,120.14,32_120.14,4,4,"Nutty,Stale","Bitter, Stale, Afterfeel-Slippery-High, Nutty","Smells similar to 562, pale yellow, light in scent, woody, very bitter, slightly hoppy","low aroma, hoppy","woody, bitter, fruity"
33,Copeland,33_Copeland,1,1,"Floral,Grassy","Floral, Grassy, Bitter, Body-Particulate-Smooth, Irritation-Cooling, Body-Viscosity-Thin","Light taste, almost no aftertaste, pleasant aroma (not sure what it is)","light, no aftertaste, nice aroma",light
33,117.17,33_117.17,2,4,Earthy,"Salty, Bitter, Earthy, Irritation-Carbonation-Tingle, Body-Particulate-Smooth","Hoppy at first but almost no aftertaste, could not smell over a nearby food truck","hoppy, no aftertaste",0
33,120.14,33_120.14,3,2,Floral,"Floral, Bitter, Body-Viscosity-Thin, Body-Particulate-Smooth","Very light taste, would need more to be sure what I could taste",light,0
33,120.17,33_120.17,4,3,Woody,"Woody, Bitter, Irritation-Alcohol-Warm, Irritation-Carbonation-Tingle, Body-Particulate-Smooth","Hoppy compared to others, still fairly light","hoppy, light",light
34,120.14,34_120.14,1,2,,"Body-Density-Light, Effervescence-BubbleDensity-Dispersed","Seems like a commercial ""macro"" beer like Rainier, not too distinct, watery","tastes like a macro brand, watery",light
34,Copeland,34_Copeland,2,3,,"Body-Density-Light, Effervescence-BubbleDensity-Dispersed","Rather bland-light/lager/pilsner type beer, thought not enough *illegible* as a pilsner. Watery","tastes like a macro brand, watery, lager",light
34,120.17,34_120.17,3,4,,"Body-Density-Light, Effervescence-BubbleDensity-Dispersed","I've had something similar before, something in the sample disagrees with my taste buds, don't really like. Watery",watery,0
34,117.17,34_117.17,4,1,,"Body-Density-Light, Effervescence-BubbleDensity-Dispersed",Reminds be of a beer I tried on the San Juan Islands. Not too bad. watery. ,watery,light
35,120.17,35_120.17,1,3,Nutty,Nutty,It tastes very yeasty,yeasty,0
35,120.14,35_120.14,2,4,"Floral,Nutty","Floral, Nutty","It tastes less like yeast than 161, and it also tastes more like water",watery,light
35,117.17,35_117.17,3,2,"Fruity,Cereal","Fruity, Cereal",It tastes like it has a orange/lemon or citrus aftertaste,,"fruity, citrus, orange, lemon"
35,Copeland,35_Copeland,4,1,"Floral,Metallic","Metallic, Floral",It has a taste like 562 and 728 combined,,0
36,117.17,36_117.17,1,4,,Effervescence-BubbleDensity-Dispersed,"Lemon aftertaste, not much flavor, slightly bitter, little carbonation",bland,"fruity, lemon, bitter, tingle"
36,120.17,36_120.17,2,3,Fruity,"Sweet, Fruity, Fruity-Citrus, Fruity-Citrus-Lemon","Floral aroma, pleasant earthy flavor, slightly sweet",good flavor,"floral, earthy, sweet"
36,Copeland,36_Copeland,3,2,,"Afterfeel-Astringency-Drying, Bitter","Sweet aroma, astringent, bitter",,"sweet, drying, bitter"
36,120.14,36_120.14,4,1,,"Sweet, Body-Particulate-Smooth","Nutty aroma, lightly carbonated, some bitter aftertaste",,"nutty, tingle, bitter"
37,Copeland,37_Copeland,1,4,Stale,Stale,Not my type,least favorite,0
37,117.17,37_117.17,2,2,Fruity,Fruity,Okay,,0
37,120.14,37_120.14,3,3,Earthy,Earthy,Earthy,,earthy
37,120.17,37_120.17,4,1,Floral,Floral,Okay,,0
38,120.14,38_120.14,1,2,"Earthy,Waxy","Waxy, Waxy-Fat, Body-Particulate-Smooth, Earthy, Body-Density-Heavy",This tastes like a classic beer that is not bitter and you can drink easily,easy drinking,0
38,Copeland,38_Copeland,2,1,Nutty,"Bitter, Nutty, Body-Density-Light","This has a mild light and slightly bitter flavor, also easy to drink",easy drinking,"light, bitter"
38,120.17,38_120.17,3,4,"Waxy,Stale","Waxy, Waxy-Fat, Stale, Body-Density-Heavy, Effervescence-BubbleDensity-Dispersed",This one is not very flavorful and is mild,"bland, mild",0
38,117.17,38_117.17,4,3,"Grassy,Earthy","Sweet, Grassy, Earthy, Body-Density-Light, Effervescence-BubbleDensity-Compact","This one tastes the sweetest to me, but also is mild and easy to drink","mild, easy drinking",sweet
39,120.17,39_120.17,1,4,"Earthy,Woody,Ripe,Waxy","Ripe, Waxy, Woody, Earthy, Irritation-Alcohol-Burning","Ripe smell, bitter flavor, waxy aftertaste",,"ripe, bitter, waxy"
39,120.14,39_120.14,2,3,"Floral,Stale","Stale, Floral, Bitter","Bitter, no smell, bitter aftertaste","bitter aftertaste, low aroma",bitter
39,117.17,39_117.17,3,1,"Grassy,Alcoholic","Alcoholic, Grassy","No smell, nice calm flavor, slightly thick, bitter aftertaste","low aroma, good flavor, bitter aftertaste","thick, bitter"
39,Copeland,39_Copeland,4,2,"Fruity,Floral","Sweet, Fruity, Floral, Afterfeel-Astringency-Drying","Ripe smell, slightly sweet, slightly fruity",,"ripe, sweet, fruity"
40,117.17,40_117.17,1,3,"Floral,Grassy","Floral, Grassy","Kind of bitter, ripe",,"bitter, ripe"
40,120.17,40_120.17,2,2,Woody,"Woody, Sweet","Very mild, didn't have much flavor but easy to drink","bland, easy drinking, mild",0
40,Copeland,40_Copeland,3,4,"Woody,Ripe","Ripe, Woody",Kind of ripe,,ripe
40,120.14,40_120.14,4,1,"Earthy,Meaty","Earthy, Sweet, Meaty","Sweet and earthy, easy to drink",easy drinking,"sweet, earthy"
41,Copeland,41_Copeland,1,1,"Fruity,Nutty","Nutty, Fruity, Sweet, Body-Density-Light","Nutty aftertaste, fruity initially, entirely delicious. Not much alcohol flavor, went down very smooth","good flavor, easy drinking, smooth","nutty, fruity"
41,117.17,41_117.17,2,2,Fruity,"Bitter, Fruity",Canned fruit is a very accurate scent descriptor. Taste was fairly bitter with a light mouthfeel,,"light, bitter, fruity, different fruits, canned fruit"
41,120.14,41_120.14,3,3,,"Body-Density-Light, Bitter, Body-Viscosity-Thin","Very classic ""beer smell"" probably the strongest scent thus far. Bitter taste with little to no aftertaste. Low density, light fizz, easy to drink","no aftertaste, easy drinking","light, tingle, bitter"
41,120.17,41_120.17,4,4,"Fruity,Stale","Fruity, Stale, Stale-Paper","Fruity initial smell, near citrusy taste, medium density. Pretty boring over all. Not a lot going on.",bland,"fruity, fruity, citrus, heavy"
42,120.14,42_120.14,1,2,Fruity,"Fruity, Fruity-Citrus, Body-Density-Light","Light, citrus, hint of apple, salty hints in the end, has lots of bubbles, compact",,"light, citrus, fruity, apple, salty, bubbly"
42,Copeland,42_Copeland,2,1,"Fruity,Grassy","Grassy, Fruity, Fruity-Melon","The smell is grassy, it has some hints of melon, the ending is nutty",,"grassy, fruity, melon, nutty"
42,120.17,42_120.17,3,4,Burnt,Burnt,"Taste medicinal (bandaids), has a rum taste. Burnt finish",,"medicinal, band-aid, alcoholic, rum, burnt"
42,117.17,42_117.17,4,3,Fruity,"Fruity, Fruity-Citrus, Fruity-Citrus-Grapefruit, Afterfeel-Slippery-High","Light, sweet aromatic. Taste a bit of grapefruit, slippery after feel, clean in the end",,"light, sweet aromatic, fruity, citrus, grapefruit, slippery"
43,120.17,43_120.17,1,1,Floral,"Floral, Sweet, Irritation-Cooling","Sweet, floral, cooling",,"sweet, floral, cooling"
43,120.14,43_120.14,2,3,Earthy,"Earthy, Bitter, Afterfeel-Astringency-Drying","Earthy, bitter, astringency",,"earthy, bitter, drying"
43,117.17,43_117.17,3,2,Woody,"Woody, Sweet, Afterfeel-Astringency-Drying","Woody, sweet, astringency",,"woody, sweet, drying"
43,Copeland,43_Copeland,4,4,"Nutty,Alcoholic","Nutty, Bitter, Alcoholic","Nutty, bitter, alcohol",,"nutty, bitter, alcohol_burning"
44,117.17,44_117.17,1,4,"Solvent,Stale","Solvent, Stale",Standard beer,tastes like a macro brand,0
44,120.17,44_120.17,2,3,"Woody,Cereal,Stale","Woody, Cereal, Stale",Earthy,,earthy
44,Copeland,44_Copeland,3,1,Alcoholic,"Alcoholic, Body-Density-Heavy","I like this one, warm and filling",nice,warm
44,120.14,44_120.14,4,2,Nutty,"Nutty, Body-Density-Heavy","I like this one, copper",nice,metallic
45,Copeland,45_Copeland,1,4,Stale,"Bitter, Effervescence-BubbleSize-Large, Afterfeel-Astringency-Drying, Stale, Stale-Cardboard",Most like a corporate American beer,tastes like a macro brand,0
45,117.17,45_117.17,2,3,"Herbacious,Ripe,Waxy","Waxy, Waxy-Tallow, Herbacious, Herbacious-Tea, Ripe, Ripe-Sweat",Slightly bitter,,bitter
45,120.14,45_120.14,3,1,"Dairy,Waxy","Waxy, Waxy-Fat, Dairy, Dairy-Butter, Afterfeel-Slippery-High, Body-Viscosity-Thick","Fullest flavor, and best mouthfeel and aftertaste",favorite,0
45,120.17,45_120.17,4,2,"Nutty,Alcoholic,Vegetal","Afterfeel-Slippery-High, Alcoholic, Alcoholic-Rum, Nutty. Nutty-Marzipan, Vegetal, Vegetal-Corn",Good,good flavor,0
46,120.14,46_120.14,1,1,"Fruity,SweetAromatic","Fruity, Fruity-Pear, Sweet, Irritation-Alcohol-Warm, SweetAromatic, SweetAromatic-SugarCane","This one is slightly malty and hoppy, the flavor is subtle, the smell is very fruity and light and crisp","light, crisp","cereal, malt, fruity, light"
46,Copeland,46_Copeland,2,3,Grassy,"Grassy, Bitter, Body-Viscosity-Thick",Hoppy but less malt flavor. It's fruity and stays on the palate,,"cereal, malt, fruity"
46,120.17,46_120.17,3,2,"Fruity,Grassy,Woody,Burnt","Fruity, Fruity-Pear, Bitter, Woody, Grassy, Burnt, Burnt-Coffee",This one is very hoppy and slightly bitter. I don't smell a lot of fruit,hoppy,bitter
